pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
09,145,2002,15,18.54
09,145,2005,22,32.970000000000006
09,145,2007,11,20.42
09,145,2008,2,2.9299999999999997
09,146,2000,1,0.5
09,146,2001,75,106.45000000000002
09,146,2003,14,25.060000000000006
09,146,2004,1,2.3
09,146,2005,32,45.39
09,146,2007,33,54.48999999999999
09,146,2008,18,28.050000000000004
09,146,2013,12,16.75
09,147,2003,33,51.499999999999986
09,147,2005,1,1.65
09,147,2007,1,1.4
09,147,2008,36,79.44999999999997
09,147,2009,14,21.279999999999998
09,147,2010,1,1
09,148,2005,14,23.870000000000005
09,148,2008,31,46.06999999999998
09,148,2009,2,1.55
09,148,2010,6,27.6
09,148,2013,2,2.4
09,149,2003,24,56.64000000000001
09,149,2005,24,76.61000000000001
09,149,2006,24,36.33999999999999
09,149,2007,52,148.50999999999996
09,149,2008,35,70.03999999999999
09,149,2009,33,74.38999999999997
09,149,2010,8,14.26
09,149,2011,6,9.25
09,150,2002,19,35.74
09,150,2003,44,69.55
09,150,2004,6,9.9
09,150,2005,12,21.33
09,150,2006,3,8.45
09,150,2007,8,13.39
09,150,2008,10,17.36
09,150,2009,12,16.279999999999998
09,150,2011,4,9.370000000000001
09,150,2013,7,11.7
09,151,2003,10,15.940000000000001
09,151,2004,1,4.1
09,151,2005,22,36.54
09,151,2006,5,8.69
09,151,2007,40,59
09,151,2008,7,14.249999999999998
09,151,2009,4,5.6899999999999995
09,151,2012,1,2
09,152,2003,23,45.3
09,152,2004,7,25.8
09,152,2005,7,12.549999999999999
09,152,2006,4,9.75
09,152,2007,5,17.130000000000003
09,152,2008,25,84.48
09,152,2009,5,12.760000000000002
09,152,2010,1,3.98
09,152,2014,32,69.49999999999999
09,153,2005,1,2
09,153,2007,2,4.88
09,153,2009,23,66.13
09,153,2010,10,12.350000000000001
09,153,2013,1,8.2
09,153,2014,33,62.699999999999996
09,154,2003,2,2.55
09,154,2005,2,7.050000000000001
09,154,2007,3,5.35
09,154,2008,4,8.129999999999999
09,154,2009,36,63.25999999999999
09,154,2010,9,29.849999999999998
09,154,2014,41,49.370000000000005
09,154,2015,2,2
09,155,2002,1,0
09,155,2003,11,17.99
09,155,2006,17,27.77
09,155,2007,3,4.529999999999999
09,155,2008,26,67.59
09,155,2009,32,66.63999999999999
09,155,2010,10,22.650000000000002
09,155,2011,3,8.08
09,155,2013,4,10.4
09,155,2014,36,59.830000000000005
09,155,2015,1,2.5
09,156,2002,2,3.06
