pc11_state_id,pc11_district_id,year,dmsp_total_light_cal,roads_completed,road_length_km,tot_p,sc_share,st_share,lit_rate,lfp_rate,ec_emp_all,ec_count_all,ec_emp_manuf,ec_emp_services,winning_party,incumbent_won
18,319,2004,5247.9736328125,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,27416,10012,3958,23215,INC,No
18,319,2005,5330.66943359375,12,58.92,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,No
18,319,2006,5212.070556640625,4,13.21,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,Yes
18,319,2007,7097.73681640625,NA,NA,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,Yes
18,319,2008,6826.36865234375,26,135.4,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,Yes
18,319,2009,7739.5615234375,19,100.42,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,Yes
18,319,2010,9933.552734375,33,105.05,610754,0.10822851753733909,0.02269817307786768,0.49940892732589554,0.3053635342543807,40304,18486,9170,30586,INC,Yes
18,319,2011,9771.2529296875,27,89.88,738804,0.11205136951072274,0.02549390636758869,0.5875414859692151,0.34624338796216586,40304,18486,9170,30586,INC,Yes
18,319,2012,8856.4326171875,7,22.700000000000003,738804,0.11205136951072274,0.02549390636758869,0.5875414859692151,0.34624338796216586,40304,18486,9170,30586,INC,Yes
18,319,2013,8314.68359375,8,49.4,738804,0.11205136951072274,0.02549390636758869,0.5875414859692151,0.34624338796216586,81083,42418,12154,66817,INC,Yes
18,320,1994,1967.975646972656,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,11059,4371,2362,8617,INC,No
18,320,1995,2430.232421875,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,11059,4371,2362,8617,INC,No
18,320,1996,4733.8173828125,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,11059,4371,2362,8617,AGP,No
18,320,1997,3616.7552490234375,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,11059,4371,2362,8617,AGP,No
18,320,1998,3479.2783203125,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,AGP,No
18,320,1999,3017.6593017578125,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,AGP,No
18,320,2000,5188.2708740234375,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,AGP,No
18,320,2001,3479.857177734375,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,INC,No
18,320,2002,4296.7821044921875,2,1.16,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,INC,No
18,320,2003,3972.777465820313,9,19.67,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,INC,No
18,320,2004,4411.311767578125,1,3.48,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,15033,5750,2085,12890,INC,No
18,320,2005,4210.3992919921875,9,74.42999999999998,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,No
18,320,2006,4383.15185546875,5,31.05,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,Yes
18,320,2007,6468.90087890625,NA,NA,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,Yes
18,320,2008,6013.1376953125,9,30.36,432867,0.07508772902531262,0.39188249508509543,0.4301621514229544,0.3712156389837987,16851,8697,2630,14146,INC,Yes
